         18442 function calls (18336 primitive calls) in 1.169 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    1.024    0.146    1.024    0.146 {method 'connect' of '_socket.socket' objects}
       14    0.127    0.009    0.127    0.009 {method 'recv_into' of '_socket.socket' objects}
       14    0.001    0.000    0.001    0.000 {built-in method nt._path_exists}
        7    0.000    0.000    0.000    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\socket.py:221(__init__)
        7    0.000    0.000    0.000    0.000 {function socket.close at 0x00000268AFEAA160}
        1    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       21    0.000    0.000    0.000    0.000 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
1160/1132    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
       14    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
       21    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
        7    0.000    0.000    0.131    0.019 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\urllib3\connection.py:481(getresponse)
       70    0.000    0.000    0.000    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:374(urlparse)
       14    0.000    0.000    0.000    0.000 C:\Users\mkrei\AppData\Local\Programs\Python\Python312\Lib\urllib\request.py:2505(getproxies_environment)
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      175    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        7    0.000    0.000    1.162    0.166 C:\Users\mkrei\OneDrive\Desktop\Fall 2024\EECE 439\EECE 439 - Final Project\ECommerce_Project\venv\Lib\site-packages\requests\sessions.py:673(send)
     1203    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
